Year,market_segment,Profits Without Discount,Profits With Discount
2020,Online TA,69.85%,65.73%
2020,Groups,3.01%,3.79%
2020,Direct,14.34%,18.33%
2020,Offline TA/TO,11.40%,10.53%
2020,Corporate,1.18%,1.39%
2020,Aviation,0.25%,0.28%
2020,Complementary,-0.03%,-0.06%
2019,Online TA,65.02%,61.27%
2019,Groups,3.06%,3.88%
2019,Corporate,1.69%,2.00%
2019,Direct,13.70%,17.62%
2019,Offline TA/TO,16.28%,14.99%
2019,Aviation,0.29%,0.32%
2019,Complementary,-0.04%,-0.08%
2019,Undefined,0.00%,0.00%
2018,Groups,5.92%,7.31%
2018,Online TA,48.34%,44.42%
2018,Direct,19.38%,24.18%
2018,Offline TA/TO,23.91%,21.37%
2018,Corporate,2.53%,2.87%
2018,Complementary,-0.08%,-0.15%
2018,Undefined,0.00%,0.00%
