Year,market_segment,Profits Without Discount,Profits With Discount
2020,Online TA,8631777.22,6042244.05
2020,Direct,1772105.36,1594894.82
2020,Offline TA/TO,1408396.13,985877.29
2020,Groups,371389.2,334250.28
2020,Corporate,146039.85,124133.87
2020,Aviation,31363.79,25091.03
2020,Complementary,-3377.72,0
2019,Online TA,9362908.47,6554035.93
2019,Direct,1973327.87,1775995.08
2019,Offline TA/TO,2344223.13,1640956.19
2019,Groups,441305.66,397175.09
2019,Corporate,243284.36,206791.71
2019,Aviation,41134.68,32907.74
2019,Undefined,9.03,9.03
2019,Complementary,-5296.1,0
2018,Online TA,2009165,1406415.5
2018,Direct,805322.87,724790.58
2018,Offline TA/TO,993765.42,695635.79
2018,Groups,246077.42,221469.68
2018,Corporate,104947.02,89204.97
2018,Undefined,9.03,9.03
2018,Complementary,-3391.7,0
