arrival_date_year,arrival_date_month,Profit_Percentage
2018,August,3.90%
2018,December,1.27%
2018,July,2.57%
2018,November,0.91%
2018,October,1.92%
2018,September,2.97%
2019,April,3.12%
2019,August,9.06%
2019,December,2.92%
2019,February,1.67%
2019,January,0.94%
2019,July,7.43%
2019,June,3.91%
2019,March,2.70%
2019,May,3.46%
2019,November,2.61%
2019,October,4.03%
2019,September,5.02%
2020,April,4.61%
2020,August,8.68%
2020,February,2.42%
2020,January,2.05%
2020,July,7.88%
2020,June,5.78%
2020,March,2.98%
2020,May,5.19%
